,INSP_ID,Created_Datetime,Broker_Name,Category,Importer_Name,Inspection_Datetime,Inspection_Location_Name,Inspection_Location_ID,Inspection_Number,Pathway,Mode_Of_Transport,Shipper_Name,Subcategory,INSPECTION_LOCATION_STATE_CODE,DOCUMENT_REVIEW_OVERTIME_ID,DOCUMENT_REVIEW_OVERTIME_NAME,INSPECTION_RESULTS_OVERTIME_ID,INSPECTION_RESULTS_OVERTIME_NAME,Inspection_ID,Ref_Commodity_ID,Certified_Facility_Name,Certified_Facility_Number,Commodity_Classification,Commodity_Common_Name,Commodity_Display_Name,Commodity_Host_Type,Commodity_Taxonomic_Display_Name,Commodity_Type,Country_Of_Origin_Name,Consignee_Name,Destination_State_Name,Disposition_Code,Genus_Name,Entry_Number,Entry_Line_Number,PGA_Line_Number,Producer_ID,Producer_Name,Propagative_Material_Type,Quantity,Quantity_Units_Name,Quarantine_Recommendation,Regulatory_Type,Wads_Code,Sampling_Units,IS_RBS,RBS_STATUS,HAS_GROWING_MEDIA,PLANT_ORG_ID,Taxonomy_Order,Taxonomy_Family,Taxonomy_Genus,Taxonomy_Species,Taxonomy_Subspecies,inspection,year,month,shipment,action
1,,NY2VWM0b8f,ZCp0cqjNii,m1ADhIcPBm,XVuLAP98z6,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,CgVDBzogYG,TDc1KRL4Kt,sMgvMcCfaS,j0dFmOojM0,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,4.16497e-319,0,7O9wDLwCUF,,qXMRrSAtZi,9rH5QnrXDq,hOMIKe5LZe,,4Uwh0OH9Qs,R4d13lsrak,Gyu9YUceWh,hh0n0dWe8b,CvdCYFZIgz,Yo8RgK5P5J,,5l4B6IOqUY,0,0,0,kuAoUplNl6,9PHv0zAk6Q,51684,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,5a74hjKC3k,qqaERVXSvg,2RVzkUarXY,3xCl2LfLWE,,1,2020,9,1,0
2,2.33713e-319,NY2VWM0b8f,ZCp0cqjNii,m1ADhIcPBm,XVuLAP98z6,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,CgVDBzogYG,TDc1KRL4Kt,sMgvMcCfaS,j0dFmOojM0,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,4.18227e-319,0,7O9wDLwCUF,,qXMRrSAtZi,o6fffpiktc,2LYPKz6Y96,,beU5qmnnGQ,R4d13lsrak,Gyu9YUceWh,hh0n0dWe8b,CvdCYFZIgz,Yo8RgK5P5J,,5l4B6IOqUY,0,0,0,kuAoUplNl6,9PHv0zAk6Q,34330,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,bYm7RBeh8y,SIjMcSs9zz,ZbNCNYX2tE,j0KabHrxLR,,1,2020,9,1,0
3,2.8527e-320,NY2VWM0b8f,ZCp0cqjNii,m1ADhIcPBm,XVuLAP98z6,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,CgVDBzogYG,TDc1KRL4Kt,sMgvMcCfaS,j0dFmOojM0,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,3.06484e-319,0,7O9wDLwCUF,,qXMRrSAtZi,Xys9ntwBIJ,pT97tA56wX,,8YLPv5PAxx,R4d13lsrak,Gyu9YUceWh,hh0n0dWe8b,CvdCYFZIgz,Yo8RgK5P5J,,5l4B6IOqUY,0,0,0,kuAoUplNl6,9PHv0zAk6Q,27480,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,NtCJZcQWKn,fCkCAHYs10,pfLzSSukQU,yyxzvhWkHt,,1,2020,9,1,0
4,,FTXOjffT98,QBxCCyx9rk,m1ADhIcPBm,Mr7Dy7bFwr,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,0pgWx98nUg,TDc1KRL4Kt,sMgvMcCfaS,VXYM91VXtU,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,7.61854e-319,0,7O9wDLwCUF,,qXMRrSAtZi,iZ4WchyIDk,qFEvDGJaRZ,,eEpJ3jl5yf,R4d13lsrak,Ms0X7XNCSH,PalCxps6aI,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,4n0QHDpg2G,olzh5zRLVI,4200,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,VfqRpo5Yqq,0h3hw4xzs9,irgzBBggyf,,,1,2020,9,1,0
5,7.0913e-320,FTXOjffT98,QBxCCyx9rk,m1ADhIcPBm,Mr7Dy7bFwr,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,0pgWx98nUg,TDc1KRL4Kt,sMgvMcCfaS,VXYM91VXtU,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,2.33347e-319,0,7O9wDLwCUF,,qXMRrSAtZi,LCkk3RH4gn,dynNkVkkHJ,,1VRciOYf6r,R4d13lsrak,Ms0X7XNCSH,PalCxps6aI,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,4n0QHDpg2G,olzh5zRLVI,1700,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,5a74hjKC3k,qqaERVXSvg,WgcIBZDIr2,,,1,2020,9,1,0
6,2.03955e-319,FTXOjffT98,QBxCCyx9rk,m1ADhIcPBm,Mr7Dy7bFwr,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,0pgWx98nUg,TDc1KRL4Kt,sMgvMcCfaS,VXYM91VXtU,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,2.979e-319,0,7O9wDLwCUF,,qXMRrSAtZi,EJlzhn12mB,wJRvJieLn2,,CdzfQPPs8n,R4d13lsrak,Ms0X7XNCSH,PalCxps6aI,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,4n0QHDpg2G,olzh5zRLVI,2100,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,5a74hjKC3k,qqaERVXSvg,WgcIBZDIr2,m1Efpiidpz,,1,2020,9,1,0
7,2.4474e-319,FTXOjffT98,QBxCCyx9rk,m1ADhIcPBm,Mr7Dy7bFwr,VCgpaTClQP,pI9DHBb1t0,3.4587e-319,0pgWx98nUg,TDc1KRL4Kt,sMgvMcCfaS,VXYM91VXtU,OLSTA3nYlX,ufwcbcYhcS,0,yzDJB5dWeP,0,Nt4RQXDroL,2.0836e-319,0,7O9wDLwCUF,,qXMRrSAtZi,9rH5QnrXDq,hOMIKe5LZe,,4Uwh0OH9Qs,R4d13lsrak,Ms0X7XNCSH,PalCxps6aI,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,4n0QHDpg2G,olzh5zRLVI,800,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,5a74hjKC3k,qqaERVXSvg,2RVzkUarXY,3xCl2LfLWE,,1,2020,9,1,0
8,6.568e-319,dwiHzr3Kpm,58BeNTnrHH,m1ADhIcPBm,cu2sk4QzE6,RCJsNBSbdL,pI9DHBb1t0,3.4587e-319,SrfSpZoMlo,mgXnnmk4gO,FDgrND7eme,h8EoenfGOq,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,3.96305e-319,0,7O9wDLwCUF,,qXMRrSAtZi,HNOEFVLxjn,rPHRIgze0E,,0IDWlIBH6r,R4d13lsrak,4rpKge7XSM,54CxJAyfWU,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,aP6ls1NwwZ,olzh5zRLVI,115,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,NtCJZcQWKn,fCkCAHYs10,HjNqojqXlw,,,1,2020,9,1,0
9,,dwiHzr3Kpm,58BeNTnrHH,m1ADhIcPBm,cu2sk4QzE6,RCJsNBSbdL,pI9DHBb1t0,3.4587e-319,SrfSpZoMlo,mgXnnmk4gO,FDgrND7eme,h8EoenfGOq,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,5.23304e-319,0,7O9wDLwCUF,,qXMRrSAtZi,YENGwBNxeO,ZlWL7SxsX7,,smTHgILm0I,R4d13lsrak,4rpKge7XSM,54CxJAyfWU,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,aP6ls1NwwZ,olzh5zRLVI,18535,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,NtCJZcQWKn,fCkCAHYs10,A4eVqCFwLF,UqupkYAzot,,1,2020,9,1,0
10,3.61157e-319,qJacPA0Ok6,ZCp0cqjNii,m1ADhIcPBm,wAm7a5MvC8,JRd9Jmtnwb,pI9DHBb1t0,3.4587e-319,4X8r7iQ4tu,TDc1KRL4Kt,sMgvMcCfaS,AEA1qaUtF3,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,,0,7O9wDLwCUF,,qXMRrSAtZi,0PpNydQAjj,Aj1akHeg0d,,wOxet1Lhuu,R4d13lsrak,Gyu9YUceWh,Zf3VJhVbGH,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,45mRjtoS5d,olzh5zRLVI,184000,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,VfqRpo5Yqq,0h3hw4xzs9,W4cZxcLZmy,q79e4AjKtk,,1,2020,9,1,0
11,,qJacPA0Ok6,ZCp0cqjNii,m1ADhIcPBm,wAm7a5MvC8,JRd9Jmtnwb,pI9DHBb1t0,3.4587e-319,4X8r7iQ4tu,TDc1KRL4Kt,sMgvMcCfaS,AEA1qaUtF3,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,3.2433e-319,0,7O9wDLwCUF,,qXMRrSAtZi,o6fffpiktc,2LYPKz6Y96,,beU5qmnnGQ,R4d13lsrak,Gyu9YUceWh,Zf3VJhVbGH,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,Rrk3XRuhqq,olzh5zRLVI,2250,DciEbBIxss,kvp0JlLcli,i7wTLwzLRd,,0,TRUE,,FALSE,0,bYm7RBeh8y,SIjMcSs9zz,ZbNCNYX2tE,j0KabHrxLR,,1,2020,9,1,0
12,3.9239e-319,qJacPA0Ok6,ZCp0cqjNii,m1ADhIcPBm,wAm7a5MvC8,JRd9Jmtnwb,pI9DHBb1t0,3.4587e-319,4X8r7iQ4tu,TDc1KRL4Kt,sMgvMcCfaS,AEA1qaUtF3,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,4.46645e-319,0,7O9wDLwCUF,,qXMRrSAtZi,o6fffpiktc,2LYPKz6Y96,,beU5qmnnGQ,R4d13lsrak,Gyu9YUceWh,Zf3VJhVbGH,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,Rrk3XRuhqq,olzh5zRLVI,11650,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,bYm7RBeh8y,SIjMcSs9zz,ZbNCNYX2tE,j0KabHrxLR,,1,2020,9,1,0
13,5.206e-320,qJacPA0Ok6,ZCp0cqjNii,m1ADhIcPBm,wAm7a5MvC8,JRd9Jmtnwb,pI9DHBb1t0,3.4587e-319,4X8r7iQ4tu,TDc1KRL4Kt,sMgvMcCfaS,AEA1qaUtF3,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,4.9062e-319,0,7O9wDLwCUF,,qXMRrSAtZi,RiCESaO9Us,1zQmlwM5gz,,IUAkbmGjVi,R4d13lsrak,Gyu9YUceWh,Zf3VJhVbGH,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,aiembykTd1,olzh5zRLVI,1950,DciEbBIxss,,i7wTLwzLRd,g0aR0DnUPe,0,TRUE,,FALSE,0,VfqRpo5Yqq,0h3hw4xzs9,HEv5QL7KQ3,Hsacrz4R2S,,1,2020,9,1,0
14,,qJacPA0Ok6,ZCp0cqjNii,m1ADhIcPBm,wAm7a5MvC8,JRd9Jmtnwb,pI9DHBb1t0,3.4587e-319,4X8r7iQ4tu,TDc1KRL4Kt,sMgvMcCfaS,AEA1qaUtF3,OLSTA3nYlX,ufwcbcYhcS,0,RctEnJk4Gc,0,ZE19qZ1zwj,1.741e-319,0,7O9wDLwCUF,,qXMRrSAtZi,kD3xcDeaDY,MxkXl1d58P,,HfMRBtRtMM,R4d13lsrak,Gyu9YUceWh,Zf3VJhVbGH,CvdCYFZIgz,Yo8RgK5P5J,,,0,0,0,aiembykTd1,9PHv0zAk6Q,1430,DciEbBIxss,,CN98MF9Oi1,g0aR0DnUPe,0,TRUE,,FALSE,0,NtCJZcQWKn,fCkCAHYs10,0nZGcIPYxi,4mIcTg4reQ,,1,2020,9,1,0
